   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
    11.344    1.77  1.62  1.4  80.   80.   58.    0.6   0.28  0.16
    11.419    1.76  1.62  1.4  82.   80.   56.    0.6   0.28  0.14
    11.498    1.76  1.62  1.38 80.   80.   58.    0.6   0.29  0.16
    11.513    1.77  1.63  1.4  80.   80.   58.    0.6   0.29  0.16
    11.534    1.78  1.63  1.38 82.   80.   56.    0.6   0.3   0.12
    11.603    1.76  1.63  1.42 82.   80.   58.    0.6   0.28  0.12
    11.621    1.78  1.63  1.4  80.   80.   58.    0.6   0.29  0.16
    11.634    1.78  1.62  1.42 82.   80.   58.    0.6   0.3   0.16
    11.635    1.78  1.62  1.38 82.   80.   58.    0.6   0.29  0.16
    11.646    1.76  1.64  1.4  82.   80.   56.    0.6   0.28  0.14
