   Chi^2    ('R1', 'R2', 'R3', 'Theta2', 'Theta3', 'Phi', 'q1', 'q2', 'q3')
    76.818    1.62  1.55  1.42 81.   80.   56.    0.5   0.3   0.2 
    77.855    1.66   1.565  1.4   81.    80.    56.     0.5    0.3    0.125
    78.452    1.64  1.58  1.42 81.   80.   56.    0.5   0.3   0.2 
    80.985    1.68  1.58  1.4  81.   80.   55.    0.5   0.3   0.1 
    81.646    1.66  1.58  1.42 81.   80.   58.    0.5   0.3   0.15
    81.879    1.64  1.55  1.38 81.   80.   56.    0.5   0.3   0.15
    82.182    1.62   1.55   1.38  81.    80.    57.     0.5    0.3    0.175
    82.969    1.66  1.58  1.4  81.   80.   56.    0.5   0.3   0.15
    83.403    1.64   1.58   1.38  81.    80.    58.     0.5    0.3    0.175
    83.493    1.62  1.58  1.38 81.   80.   58.    0.5   0.3   0.2 
    86.231    1.66   1.565  1.42  81.    80.    58.     0.5    0.3    0.1  
    86.637    1.62  1.55  1.42 81.   80.   57.    0.5   0.3   0.2 
    87.425    1.62   1.55   1.38  81.    80.    56.     0.5    0.3    0.175
    87.652    1.66   1.565  1.42  81.    80.    57.     0.5    0.3    0.125
    88.101    1.64   1.565  1.4   81.    80.    56.     0.5    0.3    0.175
    88.735    1.62   1.55   1.38  81.    80.    58.     0.5    0.3    0.175
    88.933    1.64  1.55  1.4  81.   80.   58.    0.5   0.3   0.15
    89.060    1.64   1.55   1.42  81.    80.    55.     0.5    0.3    0.175
    89.905    1.68  1.58  1.38 81.   80.   55.    0.5   0.3   0.1 
    90.899    1.66   1.565  1.4   81.    80.    58.     0.5    0.3    0.1  
    92.576    1.66   1.565  1.38  81.    80.    56.     0.5    0.3    0.125
    94.966    1.64  1.58  1.42 81.   80.   57.    0.5   0.3   0.2 
    96.172    1.66  1.55  1.42 81.   80.   55.    0.5   0.3   0.1 
    96.608    1.64  1.55  1.38 81.   80.   57.    0.5   0.3   0.15
    96.652    1.66   1.565  1.38  81.    80.    58.     0.5    0.3    0.1  
    97.753    1.64  1.58  1.42 81.   80.   58.    0.5   0.3   0.2 
    97.985    1.66  1.58  1.4  81.   80.   57.    0.5   0.3   0.15
    98.341    1.62  1.58  1.38 81.   80.   57.    0.5   0.3   0.2 
    98.930    1.64   1.58   1.4   81.    80.    56.     0.5    0.3    0.175
    99.141    1.66   1.565  1.4   81.    80.    57.     0.5    0.3    0.125
    99.749    1.68  1.58  1.42 81.   80.   56.    0.5   0.3   0.1 
   101.775    1.66   1.565  1.42  81.    80.    55.     0.5    0.3    0.15 
   102.147    1.64   1.55   1.42  81.    80.    56.     0.5    0.3    0.175
   102.754    1.66  1.55  1.4  81.   80.   55.    0.5   0.3   0.1 
   104.459    1.62  1.55  1.42 81.   80.   58.    0.5   0.3   0.2 
   106.001    1.62  1.55  1.4  81.   80.   55.    0.5   0.3   0.2 
   106.739    1.68  1.58  1.4  81.   80.   56.    0.5   0.3   0.1 
   110.474    1.66   1.565  1.42  81.    80.    58.     0.5    0.3    0.125
